S.No,Sample Name,Plant,Fertilizer_type ,Dose_(N kg/ha),Application_method,Treatment_Type,C:N_Root,C:N_Leaf,C:N_Soil,MB_Soil conc (ug C/g),MB_Soil conc (ug N/g),MB_Soil conc (ug P/g),Soil conc (ug P/g)(NF)
1,1L1,L,None,0,Split,Control,26.78020124,16.66105263,6.167579298,104.3565115,16.92017346,11.32461881,41.08175062
2,1L2,L,UF,10,Split,Fertilizer,29.41624245,15.48835782,9.146526558,79.20444427,8.659510665,2.754301727,47.03909206
3,1L3,L,UF,20,Split,Fertilizer,29.41776429,15.70229074,6.155001315,115.9217986,18.83375692,4.772942942,45.17326733
4,1L4,L,UF,30,Split,Fertilizer,23.4438142,15.90605083,7.319632844,101.9023869,13.92178939,8.785929243,42.70434462
5,1L5,L,UF,40,Split,Fertilizer,24.00326744,14.80563225,12.96832882,108.1909748,8.342707554,7.026641048,46.04665738
6,1L6,L,UF,50,Split,Fertilizer,20.6412486,14.0113352,7.270416861,131.9211423,18.14492137,157.1965775,39.41202532
7,1L7,L,UF,60,Split,Fertilizer,16.78852931,17.43294855,9.781391429,113.2751124,11.58067471,4.621319259,38.1947652
8,1L8,L,MF,30,One-time,Fertilizer,31.28786688,18.51895494,6.124469327,94.31085254,15.39902439,22.38772061,24.10456731
9,1L9,L,MF,60,One-time,Fertilizer,34.26239091,18.78330029,7.493905457,155.4766081,20.7470736,3.516410166,39.59967541
10,1L10 ,L,UF,30,One-time,Fertilizer,22.42557877,15.57951076,9.196343766,136.8727152,14.88338395,22.81705227,26.3496144
11,2L1,L,None,0,Split,Control,34.99210054,19.27077009,6.494683526,126.7263114,19.5123151,11.2317921,36.58955224
12,2L2,L,UF,10,Split,Fertilizer,23.26030664,15.91753617,6.025842704,91.68838,15.21586017,15.39956457,38.13873626
13,2L3,L,UF,20,Split,Fertilizer,27.52121619,16.85827308,8.536705683,133.174773,15.60025354,15.99613092,30.77099237
14,2L4,L,UF,30,Split,Fertilizer,24.59758495,15.31495879,9.430573236,133.4913123,14.15516417,0.213548211,43.83060453
15,2L5,L,UF,40,Split,Fertilizer,20.26418663,12.90728342,70.80870143,87.09862854,1.230055442,8.407760078,48.82987013
16,2L6,L,UF,50,Split,Fertilizer,19.55570286,13.55851284,9.134017492,131.7045166,14.41912245,16.2614425,32.07352941
17,2L7,L,UF,60,Split,Fertilizer,17.30791711,14.00654875,7.620273753,104.3881026,13.69873393,20.72998558,34.92161017
18,2L8,L,MF,30,One-time,Fertilizer,26.23764958,15.48373137,8.082256609,132.9613645,16.45101992,6.367051467,50.07077922
19,2L9,L,MF,60,One-time,Fertilizer,33.41533934,19.40582582,7.814298547,127.0845485,16.26307822,19.73010923,34.89522059
20,2L11,L,UF,60,One-time,Fertilizer,25.61332866,18.76450639,8.615748378,124.2927353,14.42622623,178.8926733,39.022
21,3L1,L,None,0,Split,Control,19.69918829,19.59216288,8.527909068,144.2813484,16.91872501,10.60749629,36.96923638
22,3L2,L,UF,10,Split,Fertilizer,30.38572864,18.65474037,8.38108351,155.6067926,18.56642908,11.59162895,33.96715818
23,3L3,L,UF,20,Split,Fertilizer,22.57372764,15.56115987,8.82202845,154.6406026,17.52891679,6.688349282,34.14
24,3L4,L,UF,30,Split,Fertilizer,28.99739536,18.47522385,6.458655933,122.054085,18.89775306,8.624201882,36.32801418
25,3L5,L,UF,40,Split,Fertilizer,29.84167252,18.49508197,8.705820584,115.5891333,13.27722438,10.18566697,33.78392762
26,3L6,L,UF,50,Split,Fertilizer,27.22690555,18.33654237,9.565977847,135.0896003,14.12188094,15.33316704,29.70392302
27,3L7,L,UF,60,Split,Fertilizer,25.05716639,17.43343218,7.410831123,110.9637563,14.97318647,13.29780494,29.88954869
28,3L10 ,L,UF,30,One-time,Fertilizer,30.9608447,20.46262115,9.610643569,143.932873,14.97640319,3.331561428,47.07469775
29,3L11,L,UF,60,One-time,Fertilizer,22.32212381,16.88164026,15.85950169,84.32024422,5.316701991,171.9151811,30.74961558
30,4L1,L,None,0,Split,Control,28.58266846,14.79304897,10.23187597,176.5170545,17.25168043,25.94482443,28.01361386
31,4L2,L,UF,10,Split,Fertilizer,36.68725726,21.35636755,6.42457633,125.502318,19.53472285,27.39431327,32.90913006
32,4L3,L,UF,20,Split,Fertilizer,27.22464432,18.35932638,9.176421218,116.9559033,12.74526316,3.961223912,48.86158537
33,4L4,L,UF,30,Split,Fertilizer,28.34553302,18.65552174,10.63218412,134.7175004,12.67072681,11.02526021,29.02557545
34,4L5,L,UF,40,Split,Fertilizer,36.68809989,19.50143351,7.580974283,147.4822002,19.45425412,11.68528005,37.44791667
35,4L6,L,UF,50,Split,Fertilizer,21.35200098,14.62724082,7.809382469,87.54818653,11.21064142,15.87989436,31.99256757
36,4L7,L,UF,60,Split,Fertilizer,21.99370216,16.66015573,9.364325454,165.731929,17.69822394,5.241664122,41.682
37,4L8,L,MF,60,One-time,Fertilizer,31.28786688,18.08190615,8.510383345,156.5744098,18.3980443,19.89715667,33.71959459
38,4L9,L,UF,30,One-time,Fertilizer,30.59503343,22.67164251,8.015035237,151.7922078,18.938433,21.84324727,25.89622642
39,4L10 ,L,None,0,Split,Control,42.45899796,19.86014202,7.29242802,174.7522366,23.96351889,12.62962983,42.61753731
40,5L1,L,UF,10,Split,Fertilizer,31.97311457,17.82005345,7.738560991,120.4437329,15.56409945,5.001551838,42.43246753
41,5L2,L,UF,20,Split,Fertilizer,18.39515275,19.35591698,7.678276617,128.782558,16.77232593,15.55578331,31.31742243
42,5L3,L,UF,30,Split,Fertilizer,19.20012769,15.52254694,7.541202839,117.7857463,15.61896011,19.96106295,30.90365854
43,5L4,L,UF,40,Split,Fertilizer,23.42897622,18.908742,8.630830795,147.5554799,17.09632403,11.96432211,34.94265464
44,5L5,L,UF,50,Split,Fertilizer,32.52479603,16.36805556,6.696758732,115.4289695,17.23654295,12.03378585,30.94156627
45,5L6,L,UF,60,Split,Fertilizer,29.60890832,19.25885535,7.991996671,142.1170919,17.78242631,2.664004205,41.48560209
46,5L7,L,MF,30,One-time,Fertilizer,29.20790183,20.41481201,7.519934224,116.5168309,15.49439495,0.672304034,45.66509434
47,5L11,L,UF,60,One-time,Fertilizer,34.7579066,22.19913592,7.792413123,128.7328833,16.5202847,7.949425847,34.76259947
