Sample ID,Plant type,Treatment,Dose , Total Soil weight fw (g),%Soil Moisture,dw equivalent,Extraction volume(L),bray_P(mg/L),P(g/kg) dw soil,NH4 (mg/L),NH4(g/kg) dw soil,NO3(mg/L),NO3(g/kg) dw soil
A1,L,1,UF_100 ,0.5024,10,0.45216,0.025,34.5628,1.910982838,10.9955,0.607942985,11.5015,0.635919807
A2,L,1,UF_100 ,0.5046,8,0.464232,0.025,34.9417,1.881693851,12.0708,0.650041359,10.1911,0.548815032
A3,L,1,UF_100 ,0.5057,10,0.45513,0.025,31.563,1.733735416,28.238,1.551095291,39.9628,2.195131061
A4,L,1,UF_100 ,0.5042,9,0.458822,0.025,23.6521,1.288740514,-0.1814,-0.009884007,0.2645,0.014411907
A5,L,2,UF_100 ,0.5056,12,0.444928,0.025,28.3391,1.592341907,6.629,0.372475996,10.1599,0.570873265
A6,L,2,UF_200,0.5038,10,0.45342,0.025,33.8756,1.86778263,39.4503,2.175152177,42.993,2.370484319
A7,L,2,UF_200,0.5051,11,0.449539,0.025,30.015,1.669210013,7.7603,0.431569897,5.1004,0.283646135
A8,L,2,UF_200,0.5036,11,0.448204,0.025,35.5492,1.982869408,36.3566,2.027904704,27.8398,1.552853165
A9,L,2,UF_200,0.5037,12,0.443256,0.025,34.9825,1.973041538,43.649,2.461839208,38.8174,2.189333027
A10,L,2,UF_200,0.5027,10,0.45243,0.025,45.3437,2.505564397,9.893,0.546659152,9.3536,0.516853436
A11,L,3,MF_100,0.5024,10,0.45216,0.025,28.3651,1.568310996,5.0594,0.27973505,3.3024,0.182590234
A12,L,3,MF_100,0.5046,8,0.464232,0.025,32.6682,1.759260456,7.5959,0.409057325,4.792,0.258060625
A13,L,3,MF_100,0.5057,10,0.45513,0.025,25.4996,1.40067673,7.6453,0.419951442,3.5284,0.193812757
A14,L,3,MF_100,0.5042,9,0.458822,0.025,25.9243,1.412546696,2.5318,0.137951101,2.8439,0.154956606
A15,L,3,MF_100,0.5056,12,0.444928,0.025,30.4599,1.711507255,7.4551,0.418893619,2.7644,0.155328503
A16,L,4,MF_200,0.5038,10,0.45342,0.025,31.5624,1.740240836,29.0603,1.602283755,19.8358,1.093676944
A17,L,4,MF_200,0.5051,11,0.449539,0.025,34.0643,1.894401821,-0.045,-0.002502564,0.9663,0.053738385
A18,L,4,MF_200,0.5036,11,0.448204,0.025,29.5886,1.650398033,1.1172,0.062315374,2.5069,0.1398303
A19,L,4,MF_200,0.5037,12,0.443256,0.025,35.2242,1.986673615,19.2696,1.08682116,19.2962,1.088321421
A20,L,4,MF_200,0.5027,10,0.45243,0.025,28.8211,1.592572332,25.2608,1.39584024,19.6211,1.084206397
A21,L,5,C,0.5024,10,0.45216,0.025,24.9559,1.379815773,-0.1449,-0.008011545,0.976,0.053963199
A22,L,5,C,0.5046,8,0.464232,0.025,28.029,1.509428475,-0.0093,-0.000500827,0.8643,0.046544616
a23,L,5,C,0.5057,10,0.45513,0.025,15.6534,0.859831257,25.1304,1.38039681,4.2013,0.230774724
A24,L,5,C,0.5042,9,0.458822,0.025,31.3801,1.70981884,17.6807,0.963374686,2.8233,0.153834167
A25,L,5,C,0.5056,12,0.444928,0.025,28.2318,1.586312842,0.0733,0.004118644,0.9494,0.05334571
B1,P,1,UF_100 ,0.5038,10,0.45342,0.025,20.7778,1.145615544,12.0782,0.665949892,11.2112,0.618146531
B2,P,1,UF_100 ,0.5051,11,0.449539,0.025,14.4815,0.805352817,6.1764,0.343485215,4.7065,0.261740361
B3,P,1,UF_100 ,0.5036,11,0.448204,0.025,15.858,0.884530259,0.0659,0.003675782,1.4761,0.08233416
B4,P,1,UF_100 ,0.5037,12,0.443256,0.025,16.4801,0.929491084,6.2086,0.350170105,5.6092,0.316363456
B5,P,1,UF_100 ,0.5027,10,0.45243,0.025,13.373,0.738954092,56.1851,3.104629445,58.9945,3.25986893
B6,P,2,UF_200,0.5024,10,0.45216,0.025,34.3159,1.897331697,15.7324,0.869846957,13.3587,0.738604697
B7,P,2,UF_200,0.5046,8,0.464232,0.025,38.0624,2.049750987,26.4384,1.423770873,13.2768,0.714987334
B8,P,2,UF_200,0.5057,10,0.45513,0.025,29.2678,1.607661547,0.2346,0.012886428,1.5204,0.0835146
B9,P,2,UF_200,0.5042,9,0.458822,0.025,29.8641,1.627216001,16.1635,0.880706461,16.6386,0.906593407
B10,P,2,UF_200,0.5056,12,0.444928,0.025,41.2102,2.315554427,33.2074,1.865886166,17.3211,0.973252976
B11,P,3,MF_100,0.5038,10,0.45342,0.025,26.2681,1.448331569,1.7367,0.095755591,2.895,0.15962022
B12,P,3,MF_100,0.5051,11,0.449539,0.025,37.1947,2.068491277,1.9236,0.106976258,2.2219,0.123565475
B13,P,3,MF_100,0.5036,11,0.448204,0.025,31.0355,1.731103471,1.7317,0.096591061,2.8858,0.16096465
B14,P,3,MF_100,0.5037,12,0.443256,0.025,25.2475,1.423979596,2.73,0.153974227,2.5182,0.142028534
B15,P,3,MF_100,0.5027,10,0.45243,0.025,31.9581,1.765914064,1.9615,0.108386933,2.0954,0.115785867
B16,P,4,MF_200,0.5024,10,0.45216,0.025,37.5944,2.078600495,8.147,0.450448956,1.696,0.093772116
B17,P,4,MF_200,0.5046,8,0.464232,0.025,33.8592,1.823398646,5.6513,0.304335979,2.7953,0.150533569
B18,P,4,MF_200,0.5057,10,0.45513,0.025,28.5342,1.567365368,6.4,0.351547909,2.8938,0.158954584
B19,P,4,MF_200,0.5042,9,0.458822,0.025,32.949,1.795304061,10.8573,0.591585626,2.6763,0.145824525
B20,P,4,MF_200,0.5056,12,0.444928,0.025,33.8148,1.900015283,7.3744,0.414359177,2.5232,0.141775748
B21,P,5,C,0.5038,10,0.45342,0.025,28.024,1.545145781,0.0547,0.003015968,0.8125,0.044798421
B22,P,5,C,0.5051,11,0.449539,0.025,26.0525,1.448845373,15.9145,0.885045569,14.1254,0.785549196
B23,P,5,C,0.5036,11,0.448204,0.025,19.9762,1.114235928,-0.0758,-0.004227985,0.8333,0.046479951
B24,P,5,C,0.5037,12,0.443256,0.025,29.8709,1.684743128,1.6202,0.091380602,3.3218,0.18735223
B25,P,5,C,0.5027,10,0.45243,0.025,25.9055,1.431464536,10.897,0.602137347,4.661,0.257553655
